"STATISTIC","Statistic Label","TLIST(M1)","Month","C02583V03135","NACE Group","UNIT","VALUE"
"RSM08C04","Retail Sales Index Volume Adjusted","202101","2021 January","45","Motor trades (45)","Base Year 2021=100","83.5"
"RSM08C04","Retail Sales Index Volume Adjusted","202101","2021 January","4711","Retail sale in non-specialised stores with food, beverages or tobacco predominating (4711)","Base Year 2021=100","102.3"
"RSM08C04","Retail Sales Index Volume Adjusted","202101","2021 January","4719","Department stores (4719)","Base Year 2021=100","65.1"
"RSM08C04","Retail Sales Index Volume Adjusted","202101","2021 January","4730","Retail sale of automotive fuel (4730)","Base Year 2021=100","77.7"
"RSM08C04","Retail Sales Index Volume Adjusted","202101","2021 January","4752","Retail sale of hardware, paints and glass (4752)","Base Year 2021=100","89.8"
"RSM08C04","Retail Sales Index Volume Adjusted","202101","2021 January","4759","Retail sale of furniture and lighting (4759)","Base Year 2021=100","62"
"RSM08C04","Retail Sales Index Volume Adjusted","202101","2021 January","5630","Bars (5630)","Base Year 2021=100","39.7"
"RSM08C04","Retail Sales Index Volume Adjusted","202101","2021 January","V3970","All retail businesses","Base Year 2021=100","80"
"RSM08C04","Retail Sales Index Volume Adjusted","202101","2021 January","V3980","Motor trades and automotive fuel (45,4730)","Base Year 2021=100","82.4"
"RSM08C04","Retail Sales Index Volume Adjusted","202101","2021 January","X1310","All retail businesses, excluding motor trades and bars","Base Year 2021=100","82.1"
"RSM08C04","Retail Sales Index Volume Adjusted","202101","2021 January","X1320","All retail businesses, excluding motor trades","Base Year 2021=100","81.8"
"RSM08C04","Retail Sales Index Volume Adjusted","202101","2021 January","X1330","All retail businesses, excluding motor trades, automotive fuel and bars","Base Year 2021=100","82.1"
"RSM08C04","Retail Sales Index Volume Adjusted","202101","2021 January","X1340","Retail sale of food (4711,4721 to 4729)","Base Year 2021=100","105.3"
"RSM08C04","Retail Sales Index Volume Adjusted","202101","2021 January","X1350","Retail sale of non food products, excluding motor trades, automotive fuel and bars","Base Year 2021=100","68.4"
"RSM08C04","Retail Sales Index Volume Adjusted","202101","2021 January","X1360","Retail sale of food, beverages and tobacco in specialised stores (4721 to 4729)","Base Year 2021=100","111"
"RSM08C04","Retail Sales Index Volume Adjusted","202101","2021 January","X1370","Retail sale of household equipment (4741 to 4743,4752,4754,4759)","Base Year 2021=100","83.3"
"RSM08C04","Retail Sales Index Volume Adjusted","202101","2021 January","X1380","Retail sale of electrical goods (4741 to 4743,4754)","Base Year 2021=100","98.2"
"RSM08C04","Retail Sales Index Volume Adjusted","202101","2021 January","X1390","Retail sale of textiles, clothing and footwear (4751,4771,4772)","Base Year 2021=100","26"
