year_month1,month_label,month_start,year,quarter,month_num,sector_code,sector,is_aggregate,value_index_adj,volume_index_adj,value_mom_pct,value_yoy_pct,volume_mom_pct,volume_yoy_pct,online_sales_pct
202101,"2021 January",2021-01-01,2021,Q1,1,V3970,"All retail businesses",1,77.60,80.00,NULL,NULL,NULL,NULL,11.00
202101,"2021 January",2021-01-01,2021,Q1,1,4730,"Automotive fuel",0,69.90,77.70,NULL,NULL,NULL,NULL,NULL
202101,"2021 January",2021-01-01,2021,Q1,1,5630,Bars,0,42.10,39.70,NULL,NULL,NULL,NULL,NULL
202101,"2021 January",2021-01-01,2021,Q1,1,X1420,"Books, newspapers & stationery",1,60.30,58.30,NULL,NULL,NULL,NULL,NULL
202101,"2021 January",2021-01-01,2021,Q1,1,X1400,"Books, stationery & other goods",1,69.80,65.20,NULL,NULL,NULL,NULL,24.80
202101,"2021 January",2021-01-01,2021,Q1,1,4719,"Department stores",0,68.00,65.10,NULL,NULL,NULL,NULL,26.90
202101,"2021 January",2021-01-01,2021,Q1,1,X1380,"Electrical goods",1,105.20,98.20,NULL,NULL,NULL,NULL,25.60
202101,"2021 January",2021-01-01,2021,Q1,1,X1340,"Food retail",1,105.60,105.30,NULL,NULL,NULL,NULL,3.50
202101,"2021 January",2021-01-01,2021,Q1,1,4711,"Food-dominant stores",0,102.80,102.30,NULL,NULL,NULL,NULL,3.20
202101,"2021 January",2021-01-01,2021,Q1,1,4759,"Furniture & lighting",0,56.20,62.00,NULL,NULL,NULL,NULL,NULL
202101,"2021 January",2021-01-01,2021,Q1,1,4752,"Hardware, paints & glass",0,86.30,89.80,NULL,NULL,NULL,NULL,NULL
202101,"2021 January",2021-01-01,2021,Q1,1,X1370,"Household equipment",1,82.70,83.30,NULL,NULL,NULL,NULL,15.30
202101,"2021 January",2021-01-01,2021,Q1,1,45,"Motor trades",0,72.80,83.50,NULL,NULL,NULL,NULL,3.30
202101,"2021 January",2021-01-01,2021,Q1,1,V3980,"Motor trades & automotive fuel",1,73.30,82.40,NULL,NULL,NULL,NULL,NULL
202101,"2021 January",2021-01-01,2021,Q1,1,X1350,"Non-food retail",1,70.20,68.40,NULL,NULL,NULL,NULL,26.30
202101,"2021 January",2021-01-01,2021,Q1,1,X1410,"Other retail sales",1,68.10,65.10,NULL,NULL,NULL,NULL,14.70
202101,"2021 January",2021-01-01,2021,Q1,1,X1430,"Pharma, medical & cosmetics",1,85.40,82.10,NULL,NULL,NULL,NULL,NULL
202101,"2021 January",2021-01-01,2021,Q1,1,X1320,"Retail excl. motor trades",1,82.50,81.80,NULL,NULL,NULL,NULL,14.20
202101,"2021 January",2021-01-01,2021,Q1,1,X1310,"Retail excl. motor trades & bars",1,82.90,82.10,NULL,NULL,NULL,NULL,NULL
202101,"2021 January",2021-01-01,2021,Q1,1,X1330,"Retail excl. motor, fuel & bars",1,84.10,82.10,NULL,NULL,NULL,NULL,16.10
202101,"2021 January",2021-01-01,2021,Q1,1,X1360,"Specialised food & beverages",1,109.00,111.00,NULL,NULL,NULL,NULL,5.40
202101,"2021 January",2021-01-01,2021,Q1,1,X1390,"Textiles, clothing & footwear",1,27.50,26.00,NULL,NULL,NULL,NULL,62.70
202102,"2021 February",2021-02-01,2021,Q1,2,V3970,"All retail businesses",1,88.20,89.80,13.60,NULL,12.30,NULL,11.80
202102,"2021 February",2021-02-01,2021,Q1,2,4730,"Automotive fuel",0,76.20,81.50,8.90,NULL,4.90,NULL,NULL
202102,"2021 February",2021-02-01,2021,Q1,2,5630,Bars,0,27.40,25.80,-35.00,NULL,-34.90,NULL,NULL
202102,"2021 February",2021-02-01,2021,Q1,2,X1420,"Books, newspapers & stationery",1,67.20,65.20,11.50,NULL,11.80,NULL,NULL
202102,"2021 February",2021-02-01,2021,Q1,2,X1400,"Books, stationery & other goods",1,82.80,76.20,18.60,NULL,17.00,NULL,26.50
202102,"2021 February",2021-02-01,2021,Q1,2,4719,"Department stores",0,84.80,83.00,24.70,NULL,27.50,NULL,35.80
202102,"2021 February",2021-02-01,2021,Q1,2,X1380,"Electrical goods",1,120.10,117.90,14.10,NULL,20.10,NULL,21.50
202102,"2021 February",2021-02-01,2021,Q1,2,X1340,"Food retail",1,103.40,100.70,-2.10,NULL,-4.30,NULL,3.30
202102,"2021 February",2021-02-01,2021,Q1,2,4711,"Food-dominant stores",0,103.40,101.30,0.60,NULL,-1.00,NULL,2.90
202102,"2021 February",2021-02-01,2021,Q1,2,4759,"Furniture & lighting",0,61.50,75.60,9.40,NULL,22.10,NULL,NULL
202102,"2021 February",2021-02-01,2021,Q1,2,4752,"Hardware, paints & glass",0,101.00,101.20,17.10,NULL,12.70,NULL,NULL
202102,"2021 February",2021-02-01,2021,Q1,2,X1370,"Household equipment",1,92.60,102.90,12.00,NULL,23.50,NULL,17.70
202102,"2021 February",2021-02-01,2021,Q1,2,45,"Motor trades",0,96.60,102.40,32.70,NULL,22.50,NULL,2.90
202102,"2021 February",2021-02-01,2021,Q1,2,V3980,"Motor trades & automotive fuel",1,95.50,99.70,30.30,NULL,21.00,NULL,NULL
202102,"2021 February",2021-02-01,2021,Q1,2,X1350,"Non-food retail",1,79.50,79.90,13.30,NULL,16.80,NULL,29.20
202102,"2021 February",2021-02-01,2021,Q1,2,X1410,"Other retail sales",1,83.00,75.80,21.80,NULL,16.40,NULL,17.00
202102,"2021 February",2021-02-01,2021,Q1,2,X1430,"Pharma, medical & cosmetics",1,93.30,90.30,9.20,NULL,9.90,NULL,NULL
202102,"2021 February",2021-02-01,2021,Q1,2,X1320,"Retail excl. motor trades",1,83.60,83.50,1.30,NULL,2.00,NULL,15.40
202102,"2021 February",2021-02-01,2021,Q1,2,X1310,"Retail excl. motor trades & bars",1,87.50,88.10,5.60,NULL,7.40,NULL,NULL
202102,"2021 February",2021-02-01,2021,Q1,2,X1330,"Retail excl. motor, fuel & bars",1,88.10,88.40,4.70,NULL,7.70,NULL,17.60
202102,"2021 February",2021-02-01,2021,Q1,2,X1360,"Specialised food & beverages",1,97.80,99.20,-10.30,NULL,-10.70,NULL,6.50
202102,"2021 February",2021-02-01,2021,Q1,2,X1390,"Textiles, clothing & footwear",1,27.30,27.60,-0.80,NULL,5.90,NULL,65.90
202103,"2021 March",2021-03-01,2021,Q1,3,V3970,"All retail businesses",1,88.60,90.10,0.60,NULL,0.30,NULL,11.10
202103,"2021 March",2021-03-01,2021,Q1,3,4730,"Automotive fuel",0,86.80,90.50,13.90,NULL,11.10,NULL,NULL
202103,"2021 March",2021-03-01,2021,Q1,3,5630,Bars,0,26.90,26.30,-1.50,NULL,1.90,NULL,NULL
